campo,x,y,w,h,text
Victima(s) incluso leve(s) — No,755,111,10,10,
Victima(s) incluso leve(s) — Si,853,111,10,10,
Daños materiales: Vehículos distintos de A y B — No,873,160,13,13,X
Daños materiales: Vehículos distintos de A y B — Si,940,160,12,13,X
Daños materiales:objetos distintos al vehículo — No,93,188,11,10,
Daños materiales: objetos distintos al vehículo — Si,191,188,11,11,X
A Estaba estacionado/parado,282,188,10,11,X
B Estaba estacionado/parado,449,327,17,16,X
A Salía de un estacionamiento abriendo puerta,733,327,17,16,X
B Salía de un estacionamiento abriendo puerta,981,342,11,12,X
A Iba a estacionar,449,349,17,17,X
B Iba a estacionar,733,349,16,16,X
"A Salia de un aparcamiento, de un Vehículo lugar privado, de un camino de tierra",735,351,15,15,X
"B Salia de un aparcamiento, de un Vehículo lugar privado, de un camino de tierra",1055,363,13,11,X
"A Entrada a un aparcamiento, a un lugar privado, a un camino de tierra",223,370,12,13,X
"B Entrada a un aparcamiento, a un lugar privado, a un camino de tierra",449,392,17,16,X
A Entrada a una plaza de sentido giratorio,733,392,16,16,
B Entrada a una plaza de sentido giratorio,449,424,17,17,X
A Circulaba por una plaza de sentido giratono,733,424,17,17,X
B Circulaba por una plaza de sentido giratono,449,472,17,16,X
A Colisiono en la parte de atrás al otro vehiculo que circulaba en el mismo sentido y en el mismo carril,733,472,17,16,X
B Colisiono en la parte de atrás al otro vehiculo que circulaba en el mismo sentido y en el mismo carril,449,518,17,16,X
A Circulaba en el mismo sentido y en carril diferente,733,518,16,16,X
B Circulaba en el mismo sentido y en carril diferente,738,521,12,13,X
A Cambiaba de carril,82,541,11,9,X
B Cambiaba de carril,449,566,17,17,X
A Adelantaba,736,569,14,14,X
B Adelantaba,449,616,17,16,X
A Giraba a la derecha,733,616,16,16,X
B Giraba a la derecha,257,679,16,16,X
A Giraba a la izquierda,449,679,17,17,X
B Giraba a la izquierda,733,679,16,17,X
A Daba marcha atrás,449,727,17,17,X
B Daba marcha atrás,733,728,16,16,X
A Invadía la parte reservada a la circulación en sentido inverso,1136,732,10,10,X
B Invadía la parte reservada a la circulación en sentido inverso,449,759,17,16,X
Vehiculo A — ¿Los daños propios del vehículo están asegurados? — No,449,790,17,17,X
Vehiculo A — ¿Los daños propios del vehículo están asegurados? — Si,733,790,16,17,X
Vehiculo B — ¿Los daños propios del vehículo están asegurados? — No,310,804,12,11,X
Vehiculo B — ¿Los daños propios del vehículo están asegurados? — Si,320,821,9,9,X
A Venía de la derecha (en un cruce),449,823,17,16,X
B Venía de la derecha (en un cruce),733,823,16,16,
A No respeto la señal de preferencia o sematoro en rojo,449,853,17,17,X
B No respeto la señal de preferencia o sematoro en rojo,733,853,17,17,X
